seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_0573,G Road,23.24158,72.647561,23.241116,72.647268,23.242044,72.647854,NORTHBOUND,119.2,tertiary,45,3900988743,8395948262
SEG_0574,G Road,23.242599,72.648193,23.242109,72.647891,23.243089,72.648496,NORTHBOUND,125.3,tertiary,45,3900988748,3900988750
SEG_0575,G Road,23.24357,72.648801,23.243089,72.648496,23.244051,72.649106,NORTHBOUND,123.7,tertiary,45,3900988750,3900988753
SEG_0576,KH Road,23.242549,72.639338,23.243301,72.639809,23.241797,72.638868,SOUTHBOUND,193.0,secondary,55,3900988751,780266557
SEG_0577,KH Road,23.243853,72.640034,23.243354,72.639717,23.244351,72.640351,NORTHBOUND,128.4,secondary,55,3900988752,3900988754
SEG_0578,G Road,23.244265,72.64924,23.244051,72.649106,23.244479,72.649374,NORTHBOUND,54.9,tertiary,45,3900988753,3455640109
SEG_0579,KH Road,23.245733,72.641215,23.244351,72.640351,23.247116,72.642079,NORTHBOUND,354.5,secondary,55,3900988754,3900987920
SEG_0580,Road 6,23.239277,72.660581,23.239562,72.660068,23.238992,72.661095,EASTBOUND,122.6,tertiary,45,3900998029,8389322935
SEG_0581,Road 6,23.239737,72.659709,23.239913,72.65935,23.239562,72.660068,EASTBOUND,83.1,tertiary,45,3900998030,3900998029
SEG_0582,Road 6,23.240424,72.658388,23.240544,72.658164,23.240304,72.658613,EASTBOUND,53.1,tertiary,45,3900998031,8389192711
SEG_0583,Road 6,23.241114,72.657157,23.241324,72.656824,23.240904,72.65749,EASTBOUND,82.5,tertiary,45,3900998033,8390243283
SEG_0584,GH-6 Circle,23.241275,72.656795,23.241324,72.656824,23.241226,72.656766,SOUTHBOUND,12.5,secondary,55,3900998033,441130277
SEG_0585,G Road,23.246718,72.650767,23.2453,72.649868,23.248137,72.651667,NORTHBOUND,365.1,tertiary,45,3900998034,3900998035
SEG_0586,G Road,23.24836,72.651807,23.248137,72.651667,23.248583,72.651946,NORTHBOUND,57.3,tertiary,45,3900998035,3900998037
SEG_0587,Road 6,23.24881,72.642482,23.248561,72.642904,23.249059,72.64206,WESTBOUND,102.5,tertiary,45,3900998036,3900998039
SEG_0588,G Road,23.249056,72.65224,23.248583,72.651946,23.249528,72.652533,NORTHBOUND,121.0,tertiary,45,3900998037,8387059909
SEG_0589,Road 6,23.249278,72.641654,23.249059,72.64206,23.249498,72.641247,WESTBOUND,96.4,tertiary,45,3900998039,3900998040
SEG_0590,Road 6,23.249595,72.641071,23.249498,72.641247,23.249692,72.640894,WESTBOUND,42.0,tertiary,45,3900998040,8396123723
SEG_0591,KH Road,23.25362,72.64615,23.252298,72.645325,23.254941,72.646976,NORTHBOUND,338.9,secondary,55,3900998046,3900998049
SEG_0592,G Road,23.253274,72.65486,23.253235,72.654834,23.253312,72.654885,NORTHBOUND,10.1,tertiary,45,3900998047,3900998048
SEG_0593,Road 7,23.253762,72.653858,23.253235,72.654834,23.25429,72.652882,WESTBOUND,231.4,primary,65,3900998047,780267322
SEG_0594,Road 7,23.253284,72.654937,23.253312,72.654885,23.253255,72.654989,EASTBOUND,12.3,primary,65,3900998048,323144496
SEG_0595,KH Road,23.255833,72.647537,23.254941,72.646976,23.256726,72.648097,NORTHBOUND,229.1,secondary,55,3900998049,3459077149
SEG_0596,Road 5,23.24078,72.637124,23.240427,72.637776,23.241133,72.636472,WESTBOUND,154.6,tertiary,45,3901000022,3901000024
SEG_0597,Road 5,23.241615,72.635623,23.241133,72.636472,23.242096,72.634773,WESTBOUND,204.1,tertiary,45,3901000024,3901000026
SEG_0598,Road 5,23.241644,72.635641,23.242096,72.634773,23.241192,72.636509,EASTBOUND,204.0,tertiary,45,3901000026,3453963996
SEG_0599,Road 5,23.242199,72.634571,23.242096,72.634773,23.242303,72.634369,WESTBOUND,47.3,tertiary,45,3901000026,8395670122
SEG_0600,Road 2,23.214552,72.623945,23.213698,72.625538,23.215406,72.622352,WESTBOUND,376.9,tertiary,45,3901067463,3832356678
SEG_0601,Road Number 1,23.203405,72.624664,23.203318,72.625095,23.203492,72.624233,WESTBOUND,90.2,tertiary,45,3901120941,3458925199
SEG_0602,Road 3,23.221871,72.630616,23.221786,72.630773,23.221956,72.630458,WESTBOUND,37.3,tertiary,45,3901906068,3904527046
SEG_0603,G Road,23.222837,72.635841,23.221702,72.635131,23.223972,72.636551,NORTHBOUND,291.1,tertiary,45,3904527040,3905116210
SEG_0604,Road 3,23.221993,72.630398,23.221956,72.630458,23.22203,72.630338,WESTBOUND,14.9,tertiary,45,3904527046,3904778693
SEG_0605,Road 4,23.227709,72.635408,23.227399,72.635997,23.228018,72.634818,WESTBOUND,138.8,tertiary,45,3904527679,3904778858
SEG_0606,Road 4,23.229498,72.632087,23.229125,72.632778,23.229871,72.631397,WESTBOUND,163.6,tertiary,45,3904527682,3904527683
SEG_0607,Road 4,23.229892,72.63136,23.229871,72.631397,23.229913,72.631322,WESTBOUND,9.0,tertiary,45,3904527683,3904527684
SEG_0608,KH Road,23.22884,72.630747,23.229871,72.631397,23.227809,72.630096,SOUTHBOUND,265.1,secondary,55,3904527683,3900988662
SEG_0609,KH Road,23.229945,72.631343,23.229913,72.631322,23.229977,72.631364,NORTHBOUND,8.4,secondary,55,3904527684,323213433
SEG_0610,G Road,23.217574,72.632666,23.218609,72.633304,23.21654,72.632028,SOUTHBOUND,264.4,tertiary,45,3904527774,780394858
SEG_0611,G Road,23.219298,72.63362,23.218656,72.633224,23.219941,72.634017,NORTHBOUND,164.2,tertiary,45,3904527775,3900980370
SEG_0612,Road 4,23.227189,72.636375,23.226979,72.636753,23.227399,72.635997,WESTBOUND,90.2,tertiary,45,3904768756,3904527679
SEG_0613,Road 3,23.222786,72.628937,23.22203,72.630338,23.223542,72.627536,WESTBOUND,332.0,tertiary,45,3904778693,3900980394
SEG_0614,Road 4,23.228292,72.634314,23.228018,72.634818,23.228566,72.63381,WESTBOUND,119.7,tertiary,45,3904778858,8398890486
SEG_0615,G Road,23.224076,72.636617,23.223972,72.636551,23.224181,72.636683,NORTHBOUND,26.9,tertiary,45,3905116210,3900980397
SEG_0616,Lane 11,23.235387,72.665428,23.235463,72.665286,23.235312,72.665569,EASTBOUND,33.5,residential,30,3910608216,3448486596
SEG_0617,Lane 11,23.235585,72.665058,23.235463,72.665286,23.235707,72.66483,WESTBOUND,53.9,residential,30,3910608216,3910608217
SEG_0618,Lane 16,23.235812,72.665503,23.235463,72.665286,23.236162,72.665719,NORTHBOUND,89.4,residential,30,3910608216,3910608219
SEG_0619,Lane 11,23.235585,72.665058,23.235707,72.66483,23.235463,72.665286,EASTBOUND,53.9,residential,30,3910608217,3910608216
SEG_0620,Lane 11,23.235827,72.664606,23.235707,72.66483,23.235946,72.664382,WESTBOUND,52.9,residential,30,3910608217,3910608218
SEG_0621,Lane 15,23.236051,72.665048,23.235707,72.66483,23.236396,72.665265,NORTHBOUND,88.6,residential,30,3910608217,3910608221
SEG_0622,Lane 11,23.235827,72.664606,23.235946,72.664382,23.235707,72.66483,EASTBOUND,52.9,residential,30,3910608218,3910608217
SEG_0623,Lane 11,23.235971,72.664335,23.235946,72.664382,23.235996,72.664288,WESTBOUND,11.1,residential,30,3910608218,3448486394
SEG_0624,Lane 14,23.236286,72.664606,23.235946,72.664382,23.236625,72.664829,NORTHBOUND,88.2,residential,30,3910608218,8389342102
SEG_0625,Lane 16,23.235812,72.665503,23.236162,72.665719,23.235463,72.665286,SOUTHBOUND,89.4,residential,30,3910608219,3910608216
SEG_0626,Lane 13,23.236489,72.66414,23.23618,72.663945,23.236798,72.664334,NORTHBOUND,79.3,residential,30,3910608220,3910608224
SEG_0627,Lane 15,23.236051,72.665048,23.236396,72.665265,23.235707,72.66483,SOUTHBOUND,88.6,residential,30,3910608221,3910608217
SEG_0628,Lane 13,23.236489,72.66414,23.236798,72.664334,23.23618,72.663945,SOUTHBOUND,79.3,residential,30,3910608224,3910608220
SEG_0629,Pandit Dindayal Upadhyay Marg,23.182015,72.629101,23.18155,72.629034,23.18248,72.629167,NORTHBOUND,104.3,tertiary,45,4034454660,11700042418
SEG_0630,Kudasan-Por Road,23.179201,72.628782,23.179202,72.628725,23.1792,72.628839,EASTBOUND,11.7,tertiary,45,4034463804,6621517671
SEG_0631,Pandit Dindayal Upadhyay Marg,23.180376,72.628879,23.179202,72.628725,23.18155,72.629034,NORTHBOUND,263.1,tertiary,45,4034463804,4034454660
SEG_0632,Kudasan-Por Road,23.179674,72.634754,23.17967,72.634715,23.179679,72.634793,EASTBOUND,8.0,tertiary,45,4034463805,8387035432
SEG_0633,Gandhinagar Bypass Road,23.185671,72.64869,23.185358,72.650698,23.185984,72.646683,WESTBOUND,419.7,secondary,55,4038723555,8389203769
SEG_0634,Kudasan-Por Road,23.179612,72.633984,23.179554,72.633254,23.17967,72.634715,EASTBOUND,149.9,tertiary,45,4045611686,4034463805
SEG_0635,Bhagat Singh Marg,23.184801,72.623296,23.185164,72.623353,23.184437,72.623239,SOUTHBOUND,81.7,unclassified,30,4058793646,6383349842
SEG_0636,Gandhinagar Bypass Road,23.18544,72.621568,23.185164,72.623353,23.185716,72.619783,WESTBOUND,373.6,secondary,55,4058793646,6383349844
SEG_0637,Road 5,23.231926,72.653673,23.231623,72.654248,23.232229,72.653098,WESTBOUND,135.4,tertiary,45,4073192502,4073192508
SEG_0638,Road 5,23.232637,72.652355,23.232229,72.653098,23.233045,72.651612,WESTBOUND,177.0,tertiary,45,4073192508,3459644490
SEG_0639,G Road,23.220574,72.634521,23.221031,72.634806,23.220117,72.634235,SOUTHBOUND,117.2,tertiary,45,4073260998,3900980380
SEG_0640,Road 3,23.221846,72.630811,23.222017,72.630496,23.221676,72.631125,EASTBOUND,74.6,tertiary,45,4089086679,780394884
SEG_0641,Road Number 1,23.204415,72.622507,23.205209,72.620998,23.203622,72.624017,EASTBOUND,355.5,tertiary,45,4539597132,12896743436
SEG_0642,Road Number 1,23.205373,72.620544,23.20515,72.620962,23.205597,72.620126,WESTBOUND,98.9,tertiary,45,4539597133,8387054043
SEG_0643,Service Road,23.17874,72.638259,23.178779,72.638266,23.178701,72.638253,SOUTHBOUND,8.8,tertiary,45,5423900137,8386574969
SEG_0644,Service Road,23.179523,72.63835,23.178779,72.638266,23.180268,72.638435,NORTHBOUND,166.6,tertiary,45,5423900137,2476545306
SEG_0645,Randesan Road,23.174373,72.647026,23.174229,72.646378,23.174516,72.647673,EASTBOUND,136.3,tertiary,45,5423903122,6517889359
SEG_0646,Randesan Road,23.174197,72.646168,23.174165,72.645957,23.174229,72.646378,EASTBOUND,43.6,tertiary,45,5423903123,5423903122
SEG_0647,Randesan Road,23.174216,72.645516,23.174236,72.645345,23.174197,72.645688,EASTBOUND,35.3,tertiary,45,5423903124,8386770065
SEG_0648,Sargasan Village Internal Road,23.186376,72.617977,23.186296,72.618098,23.186456,72.617856,WESTBOUND,30.5,residential,30,6144943971,8382572474
SEG_0649,Sargasan Village Internal Road,23.186287,72.618235,23.186296,72.618098,23.186278,72.618372,EASTBOUND,28.2,residential,30,6144943971,3832189444
SEG_0650,Sarkhej-Gandhinagar Highway,23.189723,72.609278,23.189275,72.608446,23.190172,72.610111,EASTBOUND,197.2,trunk,80,6303479358,11676281427
